Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Image.stopped,Sound.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Face_file/Happy.jpg,Sound_file/Anger.wav,Happy,Anger,I,a,3,3,0,a,1,2.9880324,None,0,3,3,3,22.1349733,,,,,,,,22.12564,22.1349733,22.2450638,22.2450638,22.24424587,22.6450343,24.2459917,24.2459917,25.2445818,a,1,2.9880324,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Anger.wav,Sad,Anger,I,a,5,5,0,a,1,2.3296771,None,0,5,5,4,28.0703852,,,,,,,,28.059354,28.0703852,28.4273104,28.4273104,28.42691067,28.5774711,30.4293054,30.4293054,30.760538,a,1,2.3296771,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Happy.wav,Anger,Happy,I,h,6,6,0,a,0,2.0144655,None,0,6,6,5,30.8178839,,,,,,,,30.8150649,30.8178839,31.2606058,31.2606058,31.26042147,31.3271737,33.2649264,33.2649264,33.2771929,a,0,2.0144655,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Sad.wav,Anger,Sad,I,s,8,8,0,s,1,3.0090586,None,0,8,8,7,35.8036892,,,,,,,,35.801292,35.8036892,36.2768437,36.2768437,36.27666547,36.3100461,38.2778409,38.2778409,39.2937968,s,1,3.0090586,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Sad.wav,Anger,Sad,I,s,9,0,1,s,1,1.9181201,None,1,0,9,7,39.3221703,,,,,,,,39.3199423,39.3221703,39.7935897,39.7935897,39.79310317,39.8266605,,,41.7269242,s,1,1.9181201,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Happy.wav,Sad,Happy,I,h,10,1,1,h,1,2.4011778,None,1,1,10,6,41.7858742,,,,,,,,41.7826943,41.7858742,42.243106,42.243106,42.24287307,42.2932308,44.2452477,44.2452477,44.6599281,h,1,2.4011778,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Anger.wav,Happy,Anger,I,a,11,2,1,h,0,2.8821447,None,1,2,11,3,45.0386965,,,,,,,,45.0288158,45.0386965,45.1603169,45.1603169,45.15944937,45.5438813,47.1599386,47.1599386,48.0432614,h,0,2.8821447,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Sad.wav,Happy,Sad,I,s,12,3,1,s,1,3.0469206,None,1,3,12,8,48.239812,,,,,,,,48.2296482,48.239812,48.5437788,48.5437788,48.54285347,48.7436244,50.5466052,50.5466052,51.5926434,s,1,3.0469206,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Happy.wav,Anger,Happy,I,h,13,4,1,a,0,2.3358075,None,1,4,13,5,51.7179211,,,,,,,,51.7029048,51.7179211,52.092507,52.092507,52.09275617,52.2258502,54.0919298,54.0919298,54.4426713,a,0,2.3358075,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Anger.wav,Sad,Anger,I,a,16,7,1,a,1,2.3730855,None,1,7,16,4,60.9895959,,,,,,,,60.9770034,60.9895959,61.258762,61.258762,61.25850347,61.4917788,63.2581813,63.2581813,63.6417967,a,1,2.3730855,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Sad.wav,Happy,Sad,I,s,19,1,2,s,1,2.7598315,None,2,1,19,8,69.3376755,,,,,,,,69.3280377,69.3376755,69.6753855,69.6753855,69.67441687,69.8421389,71.6780142,71.6780142,72.441315,s,1,2.7598315,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Anger.wav,Sad,Anger,I,a,21,3,2,a,1,2.8725176,None,2,3,21,4,75.1471375,,,,,,,,75.1352571,75.1471375,75.4243425,75.4243425,75.42431557,75.6579188,77.424102,77.424102,78.3080819,a,1,2.8725176,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Happy.wav,Anger,Happy,I,h,22,4,2,h,1,2.5312891,None,2,4,22,5,78.355165,,,,,,,,78.3521844,78.355165,78.8076081,78.8076081,78.80751037,78.8574816,80.8072689,80.8072689,81.3408327,h,1,2.5312891,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Happy.wav,Sad,Happy,I,h,24,6,2,h,1,1.830591,None,2,6,24,6,83.6275922,,,,,,,,83.6244046,83.6275922,84.0978651,84.0978651,84.09068717,84.1409085,,,85.9408571,h,1,1.830591,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
