stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank.started,text.started,text.stopped,Thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
37,0.5,11.0,48.303916100005154,,48.28871699998854,48.303916100005154,48.78753959998721,48.78753959998721,48.78753959998721,49.08740739998757,49.20298349999939,left,-11.0,1,1,0.4052093999926001,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
38,0.5,10.5,49.21958710000035,,49.203095700009726,49.21958710000035,49.70456029998604,49.70456029998604,49.70456029998604,50.0043047000072,50.08804929998587,right,10.5,1,1,0.3798843999975361,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
39,0.5,10.5,50.10398680000799,,50.08829650000553,50.10398680000799,50.58739339999738,50.58739339999738,50.58739339999738,50.887549200007925,51.004589299991494,right,10.5,0,0,0.40755049997824244,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
40,0.5,11.0,51.02077289999579,,51.00486600000295,51.02077289999579,51.50454940000782,51.50454940000782,51.50454940000782,51.80335549998563,52.02161779999733,left,-11.0,1,1,0.5162312999891583,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
41,0.5,11.0,52.03737539998838,,52.021882000000915,52.03737539998838,52.53748599998653,52.53748599998653,52.53748599998653,52.8371591999894,53.038278699998045,right,11.0,1,1,0.49945190001744777,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
42,0.5,11.0,53.053753899992444,,53.038521000009496,53.053753899992444,53.55411810000078,53.55411810000078,53.55411810000078,53.85294780001277,54.08649439999135,right,11.0,1,1,0.523727499996312,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
43,0.5,10.5,54.103939299995545,,54.08668460001354,54.103939299995545,54.587011800002074,54.587011800002074,54.587011800002074,54.88694500000565,55.120606499986025,left,-10.5,1,1,0.5173292999970727,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
44,0.5,10.5,55.1372405999864,,55.120852599997306,55.1372405999864,55.62050379998982,55.62050379998982,55.62050379998982,55.91913110000314,56.052637699991465,right,10.5,1,1,0.4190087999741081,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
45,0.5,10.5,56.069108399999095,,56.0527499000018,56.069108399999095,56.55209599999944,56.55209599999944,56.55209599999944,56.852319700003136,56.985333199991146,left,-10.5,1,1,0.41855760000180453,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
46,0.5,10.0,57.001791299990145,,56.98547350001172,57.001791299990145,57.486270699999295,57.486270699999295,57.486270699999295,57.786800000001676,57.90442659999826,right,10.0,1,1,0.4059986000065692,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
47,0.5,10.0,57.91991160000907,,57.90470730001107,57.91991160000907,58.42034529999364,58.42034529999364,58.42034529999364,,58.70249480000348,left,-10.0,1,1,0.2773779999988619,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
48,0.5,10.0,58.71884310001042,,58.702633999986574,58.71884310001042,59.20292680000421,59.20292680000421,59.20292680000421,59.50377270000172,59.587476799992146,right,10.0,1,1,0.3766030000115279,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
